'date','min_prcp','max_prcp','avg_prcp','sum_prcp','min_snow','max_snow','avg_snow','sum_snow'
'2013-12-23',0.0,0.50999999999999996447,0.074285714285714288251,0.52000000000000001776,0.0,0.0,0.0,0.0
'2013-12-24',0.0,0.50999999999999996447,0.074285714285714288251,0.52000000000000001776,0.0,0.0,0.0,0.0
'2013-12-25',0.0,0.50999999999999996447,0.072857142857142855874,0.50999999999999996447,0.0,0.0,0.0,0.0
'2013-12-26',0.0,1.1999999999999999644,0.2442857142857142616,1.7099999999999999644,0.0,0.0,0.0,0.0
'2013-12-27',0.0,1.1999999999999999644,0.17142857142857144125,1.1999999999999999644,0.0,0.0,0.0,0.0
'2013-12-28',0.0,1.1999999999999999644,0.17142857142857144125,1.1999999999999999644,0.0,0.0,0.0,0.0
'2013-12-29',0.0,1.1999999999999999644,0.17142857142857144125,1.1999999999999999644,0.0,0.0,0.0,0.0
'2013-12-30',0.0,1.1999999999999999644,0.21857142857142859426,1.530000000000000071,0.0,3.1000000000000000888,0.44285714285714288251,3.1000000000000000888
'2013-12-31',0.0,1.1999999999999999644,0.26000000000000000888,1.8200000000000001065,0.0,3.2999999999999998223,0.91428571428571441259,6.4000000000000003552
'2014-01-01',0.0,1.1999999999999999644,0.26000000000000000888,1.8200000000000001065,0.0,3.2999999999999998223,0.91428571428571441259,6.4000000000000003552
'2014-01-02',0.0,0.33000000000000002664,0.10857142857142856229,0.75999999999999996447,0.0,3.2999999999999998223,0.91428571428571441259,6.4000000000000003552
'2014-01-03',0.0,0.35999999999999996447,0.16000000000000000888,1.1200000000000001065,0.0,3.2999999999999998223,0.91428571428571441259,6.4000000000000003552
'2014-01-04',0.0,0.35999999999999996447,0.16000000000000000888,1.1200000000000001065,0.0,3.2999999999999998223,0.91428571428571441259,6.4000000000000003552
'2014-01-05',0.0,0.35999999999999996447,0.16000000000000000888,1.1200000000000001065,0.0,3.2999999999999998223,0.91428571428571441259,6.4000000000000003552
'2014-01-06',0.0,0.35999999999999996447,0.11285714285714285587,0.79000000000000003552,0.0,3.2999999999999998223,0.47142857142857144125,3.2999999999999998223
'2014-01-07',0.0,0.35999999999999996447,0.087142857142857153007,0.60999999999999996447,0.0,0.0,0.0,0.0
'2014-01-08',0.0,0.5,0.15857142857142855874,1.1099999999999998756,0.0,0.0,0.0,0.0
'2014-01-09',0.0,0.5,0.14571428571428571174,1.0200000000000000177,0.0,0.0,0.0,0.0
'2014-01-10',0.0,0.5,0.094285714285714288251,0.66000000000000005329,0.0,0.0,0.0,0.0
'2014-01-11',0.0,0.5,0.1485714285714285765,1.0400000000000000355,0.0,0.0,0.0,0.0
'2014-01-12',0.0,0.5,0.1485714285714285765,1.0400000000000000355,0.0,0.0,0.0,0.0
'2014-01-13',0.0,0.5,0.1485714285714285765,1.0400000000000000355,0.0,0.0,0.0,0.0
'2014-01-14',0.0,0.5,0.13285714285714287363,0.93000000000000007105,0.0,0.0,0.0,0.0
'2014-01-15',0.0,0.37999999999999998223,0.071428571428571423496,0.5,0.0,0.0,0.0,0.0
'2014-01-16',0.0,0.37999999999999998223,0.064285714285714288251,0.45,0.0,0.0,0.0,0.0
'2014-01-17',0.0,0.37999999999999998223,0.064285714285714288251,0.45,0.0,0.0,0.0,0.0
'2014-01-18',0.0,0.46000000000000005329,0.075714285714285720629,0.53000000000000007105,0.0,11.000000000000000888,1.5714285714285713524,11.000000000000000888
'2014-01-19',0.0,0.46000000000000005329,0.078571428571428576503,0.55,0.0,11.000000000000000888,1.6428571428571427937,11.499999999999999111
'2014-01-20',0.0,0.46000000000000005329,0.078571428571428576503,0.55,0.0,11.000000000000000888,1.6428571428571427937,11.499999999999999111
'2014-01-21',0.0,0.46000000000000005329,0.078571428571428576503,0.55,0.0,11.000000000000000888,1.6428571428571427937,11.499999999999999111
'2014-01-22',0.0,0.46000000000000005329,0.074285714285714288251,0.52000000000000001776,0.0,11.000000000000000888,1.785714285714285765,12.5
